iter	Passed	Remaining
0	1	159
1	4	203
2	5	193
3	7	177
4	9	181
5	12	196
6	14	189
7	16	189
8	19	193
9	21	193
10	24	198
11	27	202
12	30	203
13	32	197
14	34	195
15	36	192
16	39	192
17	41	188
18	44	188
19	46	186
20	49	185
21	51	182
22	54	180
23	56	178
24	58	176
25	61	175
26	63	172
27	65	169
28	68	166
29	70	164
30	73	162
31	76	161
32	78	160
33	81	157
34	83	155
35	86	153
36	88	150
37	91	148
38	93	146
39	95	142
40	97	140
41	98	136
42	100	133
43	103	131
44	105	128
45	107	125
46	108	122
47	110	120
48	113	117
49	115	115
50	117	112
51	119	110
52	121	108
53	123	105
54	125	102
55	127	99
56	129	97
57	131	95
58	133	92
59	135	90
60	137	87
61	139	85
62	141	83
63	143	80
64	144	77
65	146	75
66	148	72
67	149	70
68	151	67
69	152	65
70	154	63
71	156	60
72	157	58
73	159	55
74	160	53
75	162	51
76	163	48
77	165	46
78	166	44
79	168	42
80	169	39
81	171	37
82	172	35
83	173	33
84	174	30
85	176	28
86	178	26
87	179	24
88	181	22
89	182	20
90	184	18
91	186	16
92	187	14
93	189	12
94	190	10
95	191	7
96	192	5
97	193	3
98	195	1
99	196	0
