iter	Passed	Remaining
0	0	641
1	1	572
2	1	538
3	2	565
4	2	565
5	3	562
6	4	570
7	4	591
8	5	603
9	5	592
10	6	586
11	7	589
12	7	585
13	8	577
14	8	570
15	9	560
16	9	562
17	10	567
18	11	574
19	11	572
20	12	573
21	12	574
22	13	573
23	14	572
24	14	567
25	15	564
26	15	560
27	16	559
28	16	563
29	17	565
30	18	565
31	18	564
32	19	563
33	19	562
34	20	559
35	20	556
36	21	556
37	21	553
38	22	549
39	22	547
40	23	551
41	24	563
42	25	568
43	26	568
44	26	566
45	27	565
46	27	562
47	28	559
48	28	557
49	29	556
50	30	559
51	30	560
52	31	559
53	31	558
54	32	555
55	32	554
56	33	551
57	33	549
58	34	548
59	35	549
60	35	549
61	36	550
62	36	549
63	37	547
64	37	545
65	38	545
66	39	543
67	39	541
68	40	540
69	40	538
70	41	536
71	41	535
72	42	538
73	43	539
74	43	538
75	44	537
76	44	536
77	45	535
78	45	533
79	46	532
80	46	530
81	47	528
82	47	523
83	47	522
84	48	523
85	49	524
86	49	523
87	50	523
88	51	522
89	51	521
90	52	520
91	52	519
92	53	517
93	53	516
94	54	518
95	54	517
96	55	519
97	56	519
98	56	518
99	57	517
100	57	515
101	58	514
102	58	513
103	59	512
104	60	511
105	60	511
106	61	510
107	61	512
108	62	510
109	63	510
110	63	508
111	63	507
112	64	506
113	64	505
114	65	503
115	66	504
116	66	502
117	67	502
118	67	503
119	68	502
120	69	501
121	69	500
122	70	499
123	70	498
124	71	498
125	71	498
126	72	496
127	72	496
128	73	496
129	74	496
130	74	496
131	75	495
132	75	494
133	76	493
134	76	492
135	77	491
136	77	490
137	78	490
138	79	490
139	79	490
140	80	490
141	80	488
142	81	488
143	82	487
144	82	487
145	83	486
146	83	486
147	84	486
148	85	486
149	85	486
150	86	486
151	87	486
152	87	485
153	88	484
154	88	483
155	89	483
156	89	482
157	90	481
158	90	480
159	91	481
160	92	480
161	93	481
162	93	480
163	94	480
164	94	480
165	95	481
166	96	480
167	96	480
168	97	479
169	98	480
170	98	479
